Point in Time[s],Optimisation Time[s]
5900.0,0.039
5910.0,0.017
5920.0,0.016
5930.0,0.02
5940.0,0.014
5950.0,0.016
5960.0,0.018
5970.0,0.016
5980.0,0.019
5990.0,0.015
6000.0,0.018
6010.0,0.018
6020.0,0.014
6030.0,0.015
6040.0,0.01
6050.0,0.01
6060.0,0.016
6070.0,0.016
6080.0,0.011
6090.0,0.015
6100.0,0.014
6110.0,0.012
6120.0,0.017
6130.0,0.015
6140.0,0.015
6150.0,0.009
6160.0,0.022
6170.0,0.015
6180.0,0.015
6190.0,0.015
6200.0,0.018
6210.0,0.016
6220.0,0.02
6230.0,0.012
6240.0,0.015
6250.0,0.011
6260.0,0.008
6270.0,0.017
6280.0,0.012
6290.0,0.021
6300.0,0.016
6310.0,0.014
6320.0,0.018
6330.0,0.008
6340.0,0.018
6350.0,0.02
6360.0,0.017
6370.0,0.015
6380.0,0.009
6390.0,0.019
6400.0,0.018
6410.0,0.012
6420.0,0.015
6430.0,0.018
6440.0,0.019
6450.0,0.016
6460.0,0.02
6470.0,0.016
6480.0,0.023
6490.0,0.01
6500.0,0.017
6510.0,0.016
6520.0,0.018
6530.0,0.009
6540.0,0.022
6550.0,0.017
6560.0,0.015
6570.0,0.022
6580.0,0.013
6590.0,0.015
6600.0,0.014
6610.0,0.02
6620.0,0.012
6630.0,0.023
6640.0,0.015
6650.0,0.016
6660.0,0.017
6670.0,0.018
6680.0,0.01
6690.0,0.009
6700.0,0.012
6710.0,0.018
6720.0,0.01
6730.0,0.009
6740.0,0.016
6750.0,0.022
6760.0,0.018
6770.0,0.011
6780.0,0.016
6790.0,0.015
6800.0,0.008
6810.0,0.017
6820.0,0.015
6830.0,0.016
6840.0,0.009
6850.0,0.013
6860.0,0.009
6870.0,0.02
6880.0,0.022
6890.0,0.015
6900.0,0.015
6910.0,0.019
6920.0,0.013
6930.0,0.022
6940.0,0.013
6950.0,0.016
6960.0,0.017
6970.0,0.01
6980.0,0.016
6990.0,0.013
7000.0,0.008
7010.0,0.013
7020.0,0.012
7030.0,0.013
7040.0,0.01
7050.0,0.014
7060.0,0.012
7070.0,0.022
7080.0,0.024
7090.0,0.017
7100.0,0.016
7110.0,0.012
7120.0,0.015
7130.0,0.012
7140.0,0.013
7150.0,0.013
7160.0,0.01
7170.0,0.012
7180.0,0.009
7190.0,0.016
7200.0,0.019
7210.0,0.008
7220.0,0.011
7230.0,0.011
7240.0,0.019
7250.0,0.021
7260.0,0.017
7270.0,0.017
7280.0,0.016
7290.0,0.021
7300.0,0.019
7310.0,0.01
7320.0,0.018
7330.0,0.017
7340.0,0.018
7350.0,0.016
7360.0,0.017
7370.0,0.02
7380.0,0.018
7390.0,0.017
7400.0,0.015
7410.0,0.009
7420.0,0.016
7430.0,0.009
7440.0,0.01
7450.0,0.016
7460.0,0.016
7470.0,0.015
7480.0,0.019
7490.0,0.017
7500.0,0.011
7510.0,0.02
7520.0,0.018
7530.0,0.016
7540.0,0.017
7550.0,0.016
7560.0,0.021
7570.0,0.014
7580.0,0.015
7590.0,0.009
7600.0,0.019
7610.0,0.013
7620.0,0.015
7630.0,0.015
7640.0,0.018
7650.0,0.016
7660.0,0.01
7670.0,0.019
7680.0,0.021
7690.0,0.014
7700.0,0.017
7710.0,0.015
7720.0,0.016
7730.0,0.02
7740.0,0.008
7750.0,0.015
7760.0,0.018
7770.0,0.016
7780.0,0.019
7790.0,0.019
7800.0,0.019
7810.0,0.009
7820.0,0.016
7830.0,0.017
7840.0,0.019
7850.0,0.017
7860.0,0.018
7870.0,0.016
7880.0,0.019
7890.0,0.014
7900.0,0.008
7910.0,0.011
7920.0,0.019
7930.0,0.017
7940.0,0.015
7950.0,0.021
7960.0,0.019
