Point in Time[s],Optimisation Time[s]
4960.0,0.025
4970.0,0.026
4980.0,0.029
4990.0,0.027
5000.0,0.026
5010.0,0.03
5020.0,0.02
5030.0,0.018
5040.0,0.031
5050.0,0.033
5060.0,0.029
5070.0,0.023
5080.0,0.024
5090.0,0.034
5100.0,0.028
5110.0,0.033
5120.0,0.028
5130.0,0.034
5140.0,0.029
5150.0,0.027
5160.0,0.029
5170.0,0.028
5180.0,0.025
5190.0,0.041
5200.0,0.031
5210.0,0.02
5220.0,0.034
5230.0,0.022
5240.0,0.039
5250.0,0.035
5260.0,0.031
5270.0,0.027
5280.0,0.03
5290.0,0.026
5300.0,0.03
5310.0,0.03
5320.0,0.031
5330.0,0.03
5340.0,0.024
5350.0,0.027
5360.0,0.022
5370.0,0.027
5380.0,0.028
5390.0,0.018
5400.0,0.032
5410.0,0.02
5420.0,0.027
5430.0,0.028
5440.0,0.036
5450.0,0.017
5460.0,0.027
5470.0,0.028
5480.0,0.018
5490.0,0.025
5500.0,0.027
5510.0,0.029
5520.0,0.026
5530.0,0.028
5540.0,0.034
5550.0,0.028
5560.0,0.03
5570.0,0.03
5580.0,0.035
5590.0,0.025
5600.0,0.029
5610.0,0.02
5620.0,0.029
5630.0,0.03
5640.0,0.022
5650.0,0.026
5660.0,0.028
5670.0,0.023
5680.0,0.028
5690.0,0.03
5700.0,0.026
5710.0,0.176
5720.0,0.03
5730.0,0.035
5740.0,0.028
5750.0,0.025
5760.0,0.03
5770.0,0.029
5780.0,0.03
5790.0,0.024
5800.0,0.033
5810.0,0.026
5820.0,0.032
5830.0,0.032
5840.0,0.026
5850.0,0.027
5860.0,0.027
5870.0,0.027
5880.0,0.033
5890.0,0.026
5900.0,0.039
5910.0,0.039
5920.0,0.023
5930.0,0.031
5940.0,0.031
5950.0,0.032
5960.0,0.035
5970.0,0.033
5980.0,0.029
5990.0,0.021
6000.0,0.035
6010.0,0.046
6020.0,0.031
6030.0,0.036
6040.0,0.031
6050.0,0.03
6060.0,0.029
6070.0,0.037
6080.0,0.03
6090.0,0.03
6100.0,0.031
6110.0,0.021
6120.0,0.034
6130.0,0.027
6140.0,0.03
6150.0,0.035
6160.0,0.022
6170.0,0.028
6180.0,0.028
6190.0,0.026
6200.0,0.033
6210.0,0.03
6220.0,0.03
6230.0,0.027
6240.0,0.026
6250.0,0.028
6260.0,0.027
6270.0,0.026
6280.0,0.032
6290.0,0.029
6300.0,0.036
6310.0,0.024
6320.0,0.033
6330.0,0.024
6340.0,0.035
6350.0,0.029
6360.0,0.033
6370.0,0.047
6380.0,0.027
6390.0,0.029
6400.0,0.025
6410.0,0.029
6420.0,0.027
6430.0,0.027
6440.0,0.033
6450.0,0.025
6460.0,0.026
6470.0,0.032
6480.0,0.033
6490.0,0.03
6500.0,0.026
6510.0,0.031
6520.0,0.034
6530.0,0.04
6540.0,0.027
6550.0,0.03
6560.0,0.024
6570.0,0.032
6580.0,0.037
6590.0,0.031
6600.0,0.031
6610.0,0.022
6620.0,0.024
6630.0,0.028
6640.0,0.03
6650.0,0.019
6660.0,0.031
6670.0,0.029
6680.0,0.017
6690.0,0.025
6700.0,0.03
6710.0,0.023
6720.0,0.03
6730.0,0.03
6740.0,0.026
6750.0,0.023
6760.0,0.03
6770.0,0.03
6780.0,0.036
6790.0,0.029
6800.0,0.035
6810.0,0.034
6820.0,0.018
6830.0,0.029
6840.0,0.024
6850.0,0.031
6860.0,0.026
6870.0,0.023
6880.0,0.034
6890.0,0.03
6900.0,0.037
6910.0,0.03
6920.0,0.023
6930.0,0.033
6940.0,0.049
6950.0,0.031
6960.0,0.035
6970.0,0.031
6980.0,0.035
6990.0,0.024
7000.0,0.043
7010.0,0.027
7020.0,0.027
7030.0,0.036
7040.0,0.029
7050.0,0.035
7060.0,0.031
7070.0,0.034
7080.0,0.029
7090.0,0.03
7100.0,0.026
7110.0,0.034
7120.0,0.029
7130.0,0.03
7140.0,0.034
7150.0,0.018
7160.0,0.031
7170.0,0.025
7180.0,0.034
7190.0,0.025
7200.0,0.026
7210.0,0.022
7220.0,0.028
7230.0,0.032
7240.0,0.03
7250.0,0.036
7260.0,0.032
7270.0,0.022
7280.0,0.028
7290.0,0.029
7300.0,0.022
7310.0,0.028
7320.0,0.029
7330.0,0.028
7340.0,0.033
7350.0,0.03
7360.0,0.024
7370.0,0.026
7380.0,0.03
7390.0,0.029
7400.0,0.033
7410.0,0.027
7420.0,0.029
7430.0,0.028
7440.0,0.038
7450.0,0.022
7460.0,0.034
7470.0,0.036
7480.0,0.023
7490.0,0.023
7500.0,0.035
7510.0,0.034
7520.0,0.024
7530.0,0.023
7540.0,0.028
7550.0,0.033
7560.0,0.031
