Point in Time[s],Optimisation Time[s]
7030.0,0.023
7040.0,0.022
7050.0,0.027
7060.0,0.019
7070.0,0.027
7080.0,0.022
7090.0,0.02
7100.0,0.015
7110.0,0.027
7120.0,0.014
7130.0,0.037
7140.0,0.023
7150.0,0.029
7160.0,0.019
7170.0,0.027
7180.0,0.02
7190.0,0.029
7200.0,0.015
7210.0,0.023
7220.0,0.017
7230.0,0.018
7240.0,0.016
7250.0,0.023
7260.0,0.018
7270.0,0.027
7280.0,0.015
7290.0,0.023
7300.0,0.016
7310.0,0.029
7320.0,0.024
7330.0,0.015
7340.0,0.015
7350.0,0.021
7360.0,0.015
7370.0,0.03
7380.0,0.015
7390.0,0.024
7400.0,0.038
7410.0,0.022
7420.0,0.018
7430.0,0.023
7440.0,0.031
7450.0,0.032
7460.0,0.015
7470.0,0.028
7480.0,0.018
7490.0,0.025
7500.0,0.028
7510.0,0.02
7520.0,0.024
7530.0,0.025
7540.0,0.018
7550.0,0.024
7560.0,0.024
7570.0,0.019
7580.0,0.015
7590.0,0.022
7600.0,0.024
7610.0,0.027
7620.0,0.019
7630.0,0.023
7640.0,0.018
7650.0,0.027
7660.0,0.017
7670.0,0.027
7680.0,0.014
7690.0,0.025
7700.0,0.015
7710.0,0.023
7720.0,0.017
7730.0,0.021
7740.0,0.017
7750.0,0.021
7760.0,0.015
7770.0,0.018
7780.0,0.017
7790.0,0.025
7800.0,0.017
7810.0,0.018
7820.0,0.018
7830.0,0.026
7840.0,0.014
7850.0,0.021
7860.0,0.017
7870.0,0.017
7880.0,0.022
7890.0,0.015
7900.0,0.017
7910.0,0.019
7920.0,0.022
7930.0,0.014
7940.0,0.015
7950.0,0.019
7960.0,0.022
7970.0,0.015
7980.0,0.022
7990.0,0.017
8000.0,0.023
8010.0,0.017
8020.0,0.024
8030.0,0.015
8040.0,0.026
8050.0,0.019
8060.0,0.026
8070.0,0.015
8080.0,0.022
8090.0,0.018
8100.0,0.021
8110.0,0.018
8120.0,0.026
8130.0,0.015
8140.0,0.024
8150.0,0.016
8160.0,0.024
8170.0,0.017
8180.0,0.026
8190.0,0.018
8200.0,0.018
8210.0,0.017
8220.0,0.023
8230.0,0.015
8240.0,0.026
8250.0,0.019
8260.0,0.024
8270.0,0.015
8280.0,0.024
8290.0,0.02
8300.0,0.025
8310.0,0.019
8320.0,0.02
8330.0,0.016
8340.0,0.025
8350.0,0.019
8360.0,0.031
8370.0,0.017
8380.0,0.024
8390.0,0.017
8400.0,0.028
8410.0,0.022
8420.0,0.026
8430.0,0.021
8440.0,0.029
8450.0,0.021
8460.0,0.021
8470.0,0.015
8480.0,0.022
8490.0,0.019
8500.0,0.016
8510.0,0.021
8520.0,0.026
8530.0,0.014
8540.0,0.023
8550.0,0.029
8560.0,0.017
8570.0,0.019
8580.0,0.018
8590.0,0.023
8600.0,0.017
8610.0,0.024
8620.0,0.018
8630.0,0.021
8640.0,0.018
8650.0,0.023
8660.0,0.018
8670.0,0.023
8680.0,0.022
8690.0,0.022
8700.0,0.032
8710.0,0.019
8720.0,0.023
8730.0,0.021
8740.0,0.024
8750.0,0.019
8760.0,0.031
8770.0,0.021
8780.0,0.027
8790.0,0.019
8800.0,0.028
8810.0,0.018
8820.0,0.018
8830.0,0.018
8840.0,0.024
8850.0,0.017
8860.0,0.021
8870.0,0.024
8880.0,0.027
8890.0,0.027
8900.0,0.022
8910.0,0.014
8920.0,0.022
8930.0,0.018
8940.0,0.025
8950.0,0.019
8960.0,0.031
8970.0,0.018
8980.0,0.027
8990.0,0.018
9000.0,0.024
9010.0,0.017
9020.0,0.026
9030.0,0.018
9040.0,0.029
9050.0,0.014
9060.0,0.025
9070.0,0.015
9080.0,0.022
9090.0,0.018
9100.0,0.025
9110.0,0.015
9120.0,0.023
9130.0,0.015
9140.0,0.023
9150.0,0.018
9160.0,0.025
9170.0,0.021
9180.0,0.025
9190.0,0.015
9200.0,0.026
9210.0,0.015
9220.0,0.022
9230.0,0.018
9240.0,0.022
9250.0,0.015
9260.0,0.022
9270.0,0.014
9280.0,0.025
9290.0,0.017
9300.0,0.022
9310.0,0.016
9320.0,0.023
9330.0,0.015
9340.0,0.021
9350.0,0.018
9360.0,0.02
9370.0,0.022
9380.0,0.018
9390.0,0.021
9400.0,0.017
9410.0,0.029
9420.0,0.016
9430.0,0.026
9440.0,0.018
9450.0,0.021
9460.0,0.016
9470.0,0.019
9480.0,0.021
9490.0,0.023
9500.0,0.016
9510.0,0.023
9520.0,0.022
9530.0,0.034
9540.0,0.025
9550.0,0.016
9560.0,0.024
9570.0,0.017
9580.0,0.027
9590.0,0.015
9600.0,0.025
9610.0,0.015
9620.0,0.024
9630.0,0.019
9640.0,0.015
9650.0,0.019
9660.0,0.015
9670.0,0.017
9680.0,0.018
9690.0,0.028
9700.0,0.018
9710.0,0.023
9720.0,0.021
9730.0,0.025
9740.0,0.015
9750.0,0.025
9760.0,0.023
9770.0,0.015
9780.0,0.014
9790.0,0.024
9800.0,0.017
9810.0,0.024
9820.0,0.018
9830.0,0.027
9840.0,0.015
9850.0,0.021
9860.0,0.017
9870.0,0.017
9880.0,0.023
9890.0,0.018
9900.0,0.027
9910.0,0.015
9920.0,0.026
9930.0,0.025
9940.0,0.02
9950.0,0.017
9960.0,0.02
9970.0,0.025
9980.0,0.022
9990.0,0.027
10000.0,0.031
10010.0,0.021
10020.0,0.015
10030.0,0.026
10040.0,0.028
10050.0,0.024
10060.0,0.017
10070.0,0.026
10080.0,0.024
10090.0,0.016
10100.0,0.022
10110.0,0.018
10120.0,0.022
10130.0,0.017
10140.0,0.022
10150.0,0.019
10160.0,0.049
10170.0,0.048
10180.0,0.021
10190.0,0.02
10200.0,0.027
10210.0,0.018
10220.0,0.027
10230.0,0.018
10240.0,0.021
10250.0,0.018
10260.0,0.025
10270.0,0.016
10280.0,0.015
10290.0,0.023
10300.0,0.015
10310.0,0.024
10320.0,0.029
10330.0,0.023
10340.0,0.018
10350.0,0.023
10360.0,0.017
10370.0,0.025
10380.0,0.022
10390.0,0.024
10400.0,0.015
10410.0,0.025
10420.0,0.017
10430.0,0.021
10440.0,0.019
10450.0,0.022
10460.0,0.019
10470.0,0.024
10480.0,0.017
10490.0,0.025
10500.0,0.018
10510.0,0.022
10520.0,0.018
10530.0,0.021
10540.0,0.014
10550.0,0.023
10560.0,0.015
10570.0,0.035
10580.0,0.019
10590.0,0.023
10600.0,0.018
10610.0,0.017
10620.0,0.023
10630.0,0.017
10640.0,0.016
10650.0,0.02
10660.0,0.025
10670.0,0.014
10680.0,0.025
10690.0,0.017
10700.0,0.022
10710.0,0.018
10720.0,0.019
10730.0,0.015
10740.0,0.024
10750.0,0.015
10760.0,0.024
10770.0,0.014
10780.0,0.024
10790.0,0.017
10800.0,0.024
10810.0,0.014
10820.0,0.027
10830.0,0.015
10840.0,0.023
10850.0,0.018
10860.0,0.025
10870.0,0.015
10880.0,0.026
10890.0,0.018
10900.0,0.024
10910.0,0.025
10920.0,0.039
10930.0,0.017
10940.0,0.018
10950.0,0.017
10960.0,0.023
10970.0,0.02
10980.0,0.025
10990.0,0.019
11000.0,0.024
11010.0,0.015
11020.0,0.019
11030.0,0.015
11040.0,0.046
11050.0,0.017
11060.0,0.023
11070.0,0.015
11080.0,0.024
11090.0,0.017
11100.0,0.026
11110.0,0.015
11120.0,0.026
11130.0,0.017
11140.0,0.024
11150.0,0.017
11160.0,0.021
11170.0,0.018
11180.0,0.023
11190.0,0.018
11200.0,0.021
11210.0,0.015
11220.0,0.022
11230.0,0.014
11240.0,0.023
11250.0,0.015
11260.0,0.023
11270.0,0.016
11280.0,0.023
11290.0,0.014
11300.0,0.031
11310.0,0.023
11320.0,0.015
11330.0,0.025
11340.0,0.019
11350.0,0.016
11360.0,0.018
11370.0,0.023
11380.0,0.017
11390.0,0.033
11400.0,0.015
11410.0,0.025
11420.0,0.017
11430.0,0.021
11440.0,0.017
11450.0,0.025
11460.0,0.014
11470.0,0.023
11480.0,0.014
11490.0,0.02
11500.0,0.014
11510.0,0.022
11520.0,0.015
11530.0,0.023
11540.0,0.023
11550.0,0.021
11560.0,0.015
11570.0,0.023
11580.0,0.015
11590.0,0.016
11600.0,0.022
11610.0,0.021
11620.0,0.017
11630.0,0.015
11640.0,0.017
11650.0,0.024
11660.0,0.017
11670.0,0.021
11680.0,0.015
11690.0,0.019
11700.0,0.022
11710.0,0.019
11720.0,0.021
11730.0,0.014
11740.0,0.022
11750.0,0.018
11760.0,0.024
11770.0,0.018
11780.0,0.025
11790.0,0.014
11800.0,0.016
11810.0,0.025
11820.0,0.018
11830.0,0.026
11840.0,0.019
11850.0,0.021
11860.0,0.018
11870.0,0.023
11880.0,0.015
11890.0,0.015
11900.0,0.018
11910.0,0.022
11920.0,0.014
11930.0,0.022
11940.0,0.019
11950.0,0.027
11960.0,0.015
11970.0,0.025
11980.0,0.019
11990.0,0.021
12000.0,0.022
12010.0,0.016
12020.0,0.022
12030.0,0.023
12040.0,0.025
12050.0,0.019
12060.0,0.015
12070.0,0.024
12080.0,0.015
12090.0,0.016
12100.0,0.018
12110.0,0.026
12120.0,0.017
12130.0,0.023
12140.0,0.018
12150.0,0.025
12160.0,0.018
12170.0,0.016
12180.0,0.015
12190.0,0.025
12200.0,0.015
12210.0,0.022
12220.0,0.017
12230.0,0.025
12240.0,0.018
12250.0,0.025
12260.0,0.018
12270.0,0.022
12280.0,0.018
12290.0,0.025
12300.0,0.015
12310.0,0.022
12320.0,0.016
12330.0,0.026
12340.0,0.018
12350.0,0.025
12360.0,0.018
12370.0,0.022
12380.0,0.017
12390.0,0.021
12400.0,0.018
12410.0,0.023
12420.0,0.017
12430.0,0.024
12440.0,0.018
12450.0,0.033
12460.0,0.015
12470.0,0.022
12480.0,0.014
12490.0,0.021
12500.0,0.015
12510.0,0.02
12520.0,0.015
12530.0,0.023
12540.0,0.026
12550.0,0.014
12560.0,0.022
12570.0,0.015
12580.0,0.023
12590.0,0.015
12600.0,0.026
12610.0,0.017
12620.0,0.027
12630.0,0.014
12640.0,0.024
12650.0,0.015
12660.0,0.024
12670.0,0.025
12680.0,0.022
12690.0,0.018
