Point in Time[s],Power Consumption[W]
7385.86,84.0
7396.873,51.0
7405.859,87.0
7416.889,49.0
7429.74,49.0
7436.853,86.0
7449.742,51.0
7459.755,61.0
7465.859,48.0
7476.969,90.0
7485.858,86.0
7496.991,49.0
7505.862,49.0
7517.017,49.0
7526.006,52.0
7537.03,93.0
7545.86,53.0
7559.765,49.0
7569.741,49.0
7577.097,54.0
7585.864,69.0
7597.114,92.0
7605.862,66.0
7617.135,51.0
7625.983,49.0
7637.156,48.0
7649.741,67.0
7657.175,57.0
7669.743,49.0
7676.87,50.0
7685.91,86.0
7697.248,51.0
7709.745,50.0
7717.262,49.0
7725.983,49.0
7737.286,49.0
7749.748,86.0
7757.311,53.0
7765.863,51.0
7777.331,88.0
7789.747,85.0
7796.847,56.0
7805.875,49.0
7817.384,51.0
7829.748,49.0
7837.404,49.0
7845.864,48.0
7857.425,51.0
7865.865,49.0
7877.45,66.0
7885.865,50.0
7897.463,50.0
7909.747,83.0
7916.863,62.0
7929.749,92.0
7937.521,58.0
7949.751,69.0
7957.546,69.0
7965.869,48.0
7977.568,53.0
7989.764,86.0
7997.583,85.0
8005.871,49.0
8017.603,86.0
8025.987,54.0
8036.86,56.0
8049.75,49.0
8057.667,49.0
8069.753,49.0
8077.686,85.0
8085.87,49.0
8097.704,55.0
8105.869,88.0
8117.721,61.0
8129.75,50.0
8137.746,51.0
8149.773,84.0
8159.8,52.0
8165.87,48.0
8177.802,53.0
8185.882,66.0
8197.825,49.0
8205.87,49.0
8217.842,54.0
8229.75,87.0
8237.871,51.0
8245.87,87.0
8257.883,57.0
8265.871,53.0
8276.862,54.0
8289.756,48.0
8297.943,62.0
8305.874,49.0
8317.961,52.0
8325.991,50.0
8337.982,55.0
8345.873,56.0
8358.009,64.0
8365.875,85.0
8378.021,87.0
8385.879,51.0
8396.927,49.0
8409.754,48.0
8418.086,49.0
8429.756,54.0
8438.108,49.0
8445.876,54.0
8458.128,49.0
8465.994,57.0
8478.155,51.0
8485.874,49.0
8498.169,64.0
8505.88,62.0
8519.776,73.0
8525.996,77.0
8538.226,55.0
8545.986,51.0
8558.246,54.0
8565.874,48.0
8578.268,48.0
8585.873,85.0
8598.288,49.0
8605.878,49.0
8618.306,50.0
8629.783,48.0
8639.811,52.0
8645.898,57.0
8658.367,88.0
8665.881,54.0
8678.385,67.0
8685.878,56.0
8698.408,52.0
8705.875,85.0
8718.427,49.0
8729.76,51.0
8738.445,62.0
8746.013,54.0
8759.788,49.0
8765.878,62.0
8778.504,49.0
8785.878,86.0
8798.522,50.0
8805.878,87.0
8818.543,53.0
8825.879,50.0
8838.57,49.0
8849.762,51.0
8858.583,51.0
8865.034,51.0
8876.852,90.0
8885.884,51.0
8898.64,52.0
8905.88,50.0
8918.657,48.0
8929.778,49.0
8938.686,64.0
8949.76,53.0
8958.703,51.0
8965.879,57.0
8978.721,64.0
8985.882,59.0
8999.783,61.0
9005.892,62.0
9018.783,61.0
9025.885,51.0
9038.808,62.0
9049.762,52.0
9058.826,54.0
9065.884,51.0
9078.85,58.0
9085.895,52.0
9098.863,48.0
9109.766,49.0
