Point in Time[s],Optimisation Time[s]
7510.0,0.023
7520.0,0.026
7530.0,0.02
7540.0,0.026
7550.0,0.017
7560.0,0.024
7570.0,0.021
7580.0,0.025
7590.0,0.023
7600.0,0.029
7610.0,0.024
7620.0,0.029
7630.0,0.018
7640.0,0.024
7650.0,0.019
7660.0,0.026
7670.0,0.022
7680.0,0.026
7690.0,0.021
7700.0,0.028
7710.0,0.016
7720.0,0.031
7730.0,0.024
7740.0,0.027
7750.0,0.022
7760.0,0.027
7770.0,0.025
7780.0,0.031
7790.0,0.023
7800.0,0.017
7810.0,0.027
7820.0,0.016
7830.0,0.024
7840.0,0.015
7850.0,0.025
7860.0,0.021
7870.0,0.023
7880.0,0.02
7890.0,0.026
7900.0,0.021
7910.0,0.028
7920.0,0.03
7930.0,0.026
7940.0,0.028
7950.0,0.018
7960.0,0.026
7970.0,0.018
7980.0,0.025
7990.0,0.021
8000.0,0.024
8010.0,0.016
8020.0,0.028
8030.0,0.024
8040.0,0.023
8050.0,0.02
8060.0,0.026
8070.0,0.019
8080.0,0.037
8090.0,0.021
8100.0,0.026
8110.0,0.02
8120.0,0.029
8130.0,0.02
8140.0,0.027
8150.0,0.019
8160.0,0.028
8170.0,0.014
8180.0,0.025
8190.0,0.018
8200.0,0.027
8210.0,0.023
8220.0,0.025
8230.0,0.02
8240.0,0.027
8250.0,0.018
8260.0,0.028
8270.0,0.02
8280.0,0.025
8290.0,0.017
8300.0,0.024
8310.0,0.021
8320.0,0.028
8330.0,0.024
8340.0,0.024
8350.0,0.026
8360.0,0.031
8370.0,0.024
8380.0,0.028
8390.0,0.018
8400.0,0.023
8410.0,0.02
8420.0,0.029
8430.0,0.013
8440.0,0.024
8450.0,0.019
8460.0,0.025
8470.0,0.019
8480.0,0.025
8490.0,0.02
8500.0,0.03
8510.0,0.022
8520.0,0.027
8530.0,0.023
8540.0,0.027
8550.0,0.021
8560.0,0.016
8570.0,0.018
8580.0,0.026
8590.0,0.023
8600.0,0.022
8610.0,0.016
8620.0,0.027
8630.0,0.02
8640.0,0.028
8650.0,0.018
8660.0,0.031
8670.0,0.018
8680.0,0.029
8690.0,0.015
8700.0,0.029
8710.0,0.017
8720.0,0.03
8730.0,0.014
8740.0,0.028
8750.0,0.021
8760.0,0.027
8770.0,0.023
8780.0,0.032
8790.0,0.018
8800.0,0.025
8810.0,0.025
8820.0,0.023
8830.0,0.02
8840.0,0.025
8850.0,0.017
8860.0,0.025
8870.0,0.018
8880.0,0.027
8890.0,0.024
8900.0,0.026
8910.0,0.019
8920.0,0.023
8930.0,0.015
8940.0,0.027
8950.0,0.023
8960.0,0.027
8970.0,0.023
8980.0,0.024
8990.0,0.018
9000.0,0.027
9010.0,0.02
9020.0,0.026
9030.0,0.022
9040.0,0.025
9050.0,0.021
9060.0,0.024
9070.0,0.024
9080.0,0.016
